english_word,word,part_of_speech,sense
tired,cansado,adj,in need of rest or sleep
title,título,noun,"name of a book, etc"
today,hoy,noun,today (noun)
together,junto,adv,"at the same time, in the same place"
toilet,baño,noun,"room used for urination and defecation — see also bathroom, men's room, ladies' room, outhouse, portable toilet, latrine, shitter"
toilet,servicio,noun,"room used for urination and defecation — see also bathroom, men's room, ladies' room, outhouse, portable toilet, latrine, shitter"
tomato,tomate,noun,fruit
tomorrow,mañana,noun,the day after the present day
tonight,esta noche,noun,nighttime today
too,también,adv,likewise
too,demasiado,adv,more than enough; as too much
tooth,diente,noun,anatomy: tooth
topic,tema,noun,subject; theme
tourist,turista,noun,someone who travels for pleasure
town,ciudad,noun,settlement
traffic,tráfico,noun,pedestrians or vehicles on roads or on the air
train,tren,noun,line of connected cars or carriages
travel,viaje,noun,act of traveling
tree,árbol,noun,large woody plant
trip,viaje,noun,journey
truck,camión,noun,"heavier motor vehicle designed to carry goods — see also semi-trailer truck, pickup truck"
TRUE,cierto,adj,concurring with a given set of facts
try,intentar,verb,to attempt
turn,girada,noun,change of direction or orientation
turn,turno,noun,chance to use (something) shared in sequence with others
twice,dos veces,adv,two times
type,clase,noun,grouping based on shared characteristics
umbrella,paraguas,noun,cloth-covered frame used for protection against rain or sun
uncle,tío,noun,brother (or brother-in-law) of someone’s parent
understand,entender,verb,to grasp the meaning of
university,universidad,noun,institution of higher education
up,arriba,adv,away from earth’s surface
upstairs,arriba,adv,up the stairs; on or to a higher floor or level
use,usar,verb,"employ, apply"
useful,útil,adj,having a practical or beneficial use
usually,usualmente,adv,most of the time
vacation,vacaciones,noun,period of leisure time
vegetable,verdura,noun,a plant raised for some edible part of it
very,muy,adv,to a high degree
video,vídeo,noun,"television show, movie"
visit,visita,noun,single act of visiting
visitor,visita,noun,guest
wait,esperar,verb,delay until some event
waiter,camarero,noun,a server in a restaurant or similar
wake,despertarse,verb,to stop sleeping
walk,paseo,noun,trip made by walking
wall,muro,noun,substantial structure acting as side or division in a building
want,querer,verb,to desire
warm,caliente,adj,having a temperature slightly higher than usual
wash,lavar,verb,to clean with water
watch,reloj,noun,portable or wearable timepiece
water,agua,noun,inorganic compound H₂O
way,camino,noun,"road, direction, path"
wear,llevar,verb,to have on (clothes or accessories)
weather,tiempo atmosférico,noun,state of the atmosphere
website,sitio web,noun,a collection of pages on the World Wide Web
week,semana,noun,period of seven days
weekend,fin de semana,noun,break in the working week
welcome,bienvenido,adj,whose arrival is a cause of joy
well,bien,adj,in good health
when,cuándo,adv,"at what time, as a direct question"
where,dónde,adv,at what place; to what place; from what place
white,blanco,noun,color
why,por qué,adv,for what reason
wife,esposa,noun,female partner in a marriage
will,desear,verb,to wish or desire
win,ganar,verb,transitive: achieve victory in
window,ventana,noun,opening for light and air
wine,vino,noun,alcoholic beverage made from grapes
winter,invierno,noun,"fourth season, marked by short days and the lowest temperatures"
woman,mujer,noun,adult female person
wonderful,maravilloso,adj,"excellent, extremely impressive"
word,palabra,noun,unit of language
work,trabajo,noun,"labour, employment, occupation, job"
worker,trabajador,noun,person who performs labor
worker,obrero,noun,person who performs labor
world,mundo,noun,human collective existence
write,escribir,verb,"to form letters, etc."
writer,escritor,noun,person who writes; an author
writing,escritura,noun,written letters or symbols
wrong,incorrecto,adj,incorrect
wrong,equivocado,adj,incorrect
yard,patio,noun,land around a house
year,año,noun,time it takes for the Earth to complete one revolution around the Sun
yellow,amarillo,noun,color
yesterday,ayer,noun,day before today
young,joven,adj,in the early part of life or growth
english_word,word,part_of_speech,sense
answer,respuesta,noun,response
back,espalda,noun,the rear of body
black,negro,adj,absorbing all light
blue,azul,adj,"blue-coloured — see also dark blue, light blue"
break,romper,verb,transitive: to separate into (to cause to end up in) two or more pieces
brown,marrón,adj,having a brown colour
busy,ocupado,adj,crowded with business or activities
call,llamar,verb,"to request, summon, or beckon"
capital,capital,noun,money and wealth
change,cambiar,verb,to become something different
clean,limpio,adj,not dirty
cold,frío,adj,having a low temperature
complete,completo,adj,with everything included
correct,correcto,adj,free from error
cost,costo,noun,amount of money spent for a purpose
dance,baile,noun,movements to music
design,diseño,noun,plan
dress,vestido,noun,item of clothing which both covers the upper part of the body and includes a skirt below the waist
drink,bebida,noun,served beverage
early,temprano,adj,at a time in advance of the usual
east,este,noun,compass point
email,correo electrónico,noun,system for sending messages and datas by means of computers connected together in a network
end,fin,noun,extreme part
exercise,ejercicio,noun,any activity designed to develop or hone a skill or ability
fall,caer,verb,move to a lower position under the effect of gravity
family,familia,noun,"immediate family [as a group], e.g. parents and their children"
fast,rápido,adj,moving or capable of moving with great speed
form,forma,noun,shape or visible structure
front,frente,noun,facing side
gray,gris,adj,"of a color somewhere between white and black, as the ash of an ember"
green,verde,adj,having green as its colour
guess,adivinar,verb,to reach an unconfirmed conclusion
hard,duro,adj,resistant to pressure
help,ayudar,verb,transitive: provide assistance to (someone or something)
home,hogar,noun,house or structure in which someone lives
interest,interés,noun,great attention and concern from someone
interview,entrevista,noun,conversation with journalist etc.
key,llave,noun,device designed to open and close a lock
late,tarde,adj,near the end of a period of time
laugh,reír,verb,show mirth by peculiar movement of the muscles of the face and emission of sounds
left,izquierda,adj,west side of the body when one is facing north
light,luz,noun,electromagnetic waves
list,lista,noun,enumeration or compilation of items
long,largo,adj,having much distance from one point to another
love,amor,noun,strong affection
match,partido,noun,sporting event
name,nombre,noun,"word or phrase indicating a particular person, place, class or thing"
near,cercano,adj,physically close
next,siguiente,adj,following in a sequence
north,norte,noun,compass point
only,único,adj,alone in a category
open,abierto,adj,not closed
opposite,contrario,noun,contrary thing
orange,naranja,noun,fruit
order,orden,noun,"arrangement, disposition"
paint,pintar,verb,to apply paint to
park,parque,noun,ground for recreation
past,pasado,adj,having already happened; in the past
pink,rosado,adj,colored/coloured between red and white
plan,plano,noun,technical drawing
plan,plan,noun,set of intended actions
play,jugar,verb,act in a manner such that one has fun
play,tocar,verb,produce music using a musical instrument (transitive sense)
post,correo,noun,method of delivering mail
practice,práctica,noun,repetition of an activity to improve skill
present,presente,adj,pertaining to the current time
pretty,bonito,adj,"especially of women and children: pleasant, attractive"
purple,morado,adj,colour
rain,lluvia,noun,condensed water from a cloud
red,rojo,adj,having red as its colour
return,volver,verb,to come or go back
right,recto,adj,"straight, not bent"
right,correcto,adj,"complying with justice, correct — see also be right"
right,derecho,adj,"of direction, opposite of left"
same,mismo,adj,not different as regards self; identical
second,segundo,adj,second (numeral) — see also 2nd
shop,tienda,noun,establishment that sells goods
show,mostrar,verb,to display
snow,nieve,noun,"partly frozen, crystalline state of water that falls from the atmosphere as precipitation in flakes; falling of such flakes; accumulation of them as a white layer"
sound,sonido,noun,sensation perceived by the ear
south,sur,noun,compass point
stop,parar,verb,to cease moving
study,estudio,noun,mental effort to acquire knowledge
telephone,teléfono,noun,a device used for two-way talking with other people
test,prueba,noun,"challenge, trial"
today,hoy,adv,on the current day
tomorrow,mañana,adv,on the day after the present day
tonight,esta noche,adv,during today's evening
travel,viajar,verb,be on a journey
turn,girar,verb,"change the direction or orientation of, especially by rotation"
visit,visitar,verb,to go and meet (someone)
walk,caminar,verb,to move on the feet
walk,andar,verb,to move on the feet
watch,mirar,verb,to look at for a period of time
welcome,dar la bienvenida,verb,affirm or greet the arrival of someone
well,bien,adv,accurately; competently
west,oeste,noun,compass point
white,blanco,adj,bright and colourless
work,trabajar,verb,to do a specific task
yellow,amarillo,adj,having yellow as its color
yesterday,ayer,adv,on the day before today
